skill,id,name,cream,red,green,degree
15975,evasion_and_energy_shield27,Evasion and Energy Shield,0.073,0.085,0.062,2
53941,evasion_and_energy_shield15,Shimmering,0.090,0.000,0.017,1
49220,shadow_monk_notable1,Flow Like Water,0.233,0.068,0.085,6
33866,attack_damage3,Attack Damage,0.170,0.188,0.034,2
10429,mastery_trap236,Trap Mastery,0.102,0.193,0.000,1
7576,attack_damage1,Attack Damage,0.079,0.202,0.011,2
48198,shadow_monk_notable2,Step Like Mist,0.171,0.051,0.091,2
42857,attack_speed27,Skill Speed,0.091,0.114,0.000,2
39964,mana11,Mana Regeneration,0.146,0.079,0.039,2
10364,attack_speed25,Skill Speed,0.156,0.140,0.006,2
11938,mana10,Mana Regeneration,0.099,0.105,0.012,2
18970,evasion_and_energy_shield3,Evasion and Energy Shield,0.102,0.085,0.006,2
3640,unarmed1,Attack Damage and Combo,0.164,0.040,0.000,2
44683,six704,SIX,0.073,0.090,0.006,2
14267,dexterity48,Attribute,0.112,0.028,0.000,4
52980,evasion_and_energy_shield1,Evasion and Energy Shield,0.086,0.075,0.006,2
17724,unarmed3,Attack Damage,0.149,0.257,0.000,1
38212,monkchakra13,Life Recoup,0.154,0.017,0.000,1
54545,daze_8,Daze Magnitude,0.254,0.395,0.000,2
38342,daze_2,Stupefy,0.326,0.465,0.000,2
39128,daze_9,Daze Magnitude,0.218,0.391,0.000,2
21945,daze_3,Damage and Criticals vs Dazed Enemies,0.269,0.554,0.000,5
61718,daze_4,Damage vs Dazed Enemies,0.246,0.363,0.000,2
47514,daze_19,Dizzying Hits,0.152,0.258,0.000,2
26572,daze_7,Criticals vs Dazed Enemies,0.229,0.377,0.000,2
14262,attributes27,Attribute,0.114,0.000,0.000,2
32763,jewel_slot1976,[Jewel] Socket,0.170,0.000,0.000,3
54983,criticals59,Attack Critical Chance,0.124,0.175,0.000,1
38537,criticals53,Heartstopping,0.085,0.193,0.000,3
51583,mastery_criticals64,Critical Mastery,0.192,0.271,0.000,1
55621,criticals56,Critical Chance,0.073,0.174,0.000,2
23040,criticals58,Critical Damage,0.086,0.183,0.000,1
38493,criticals52,Critical Damage,0.107,0.085,0.000,3
14539,evasion27,Deflection and Evasion,0.112,0.101,0.017,1
44776,evasion24_,Evasion,0.091,0.028,0.000,3
48773,dexterity50,Attribute,0.140,0.028,0.000,3
1841,evasion21,Evasion,0.096,0.124,0.006,2
9405,evasion28,Evasion,0.081,0.121,0.017,1
